Timeline,Start time,Duration,Row,Instance number,CROSSING,FIRST PHASE,OFFSIDE,PEN AREA ENTRY,POSSESSION THIRDS,SECOND PHASE,SHOOTING,TRANSITION,Ungrouped,Notes,Flags
LIVE,1180.4063333333334,6.418999999999869,AWAY POSSESSION,34,,,,,P-D3,,,ATTACKING TRANSITION,,,
LIVE,1298.9103333333333,11.510999999999967,AWAY POSSESSION,35,,,,,P-M3,,,,,,
LIVE,1315.645333333333,12.774000000000342,AWAY POSSESSION,36,,,,,P-M3,,,ATTACKING TRANSITION,,,
LIVE,1354.721333333333,5.2150000000001455,AWAY POSSESSION,37,,,,,"P-M3, P-M3",,,,,,
LIVE,1386.2093333333332,23.27099999999973,AWAY POSSESSION,38,,LBFB - LOSS,,,"P-D3, P-M3",LBSB - LOSS,,,,,
LIVE,1434.009333333333,10.172000000000025,AWAY POSSESSION,39,,,,,P-D3,,,,,,
LIVE,1465.009333333333,17.802000000000135,AWAY POSSESSION,40,,,,,P-D3,,,,,,
LIVE,1505.683333333333,6.807999999999993,AWAY POSSESSION,41,,,,,P-M3,,,,,,
LIVE,1559.728333333333,14.581000000000131,AWAY POSSESSION,42,,,,,P-D3,,,,,,
LIVE,1682.509333333333,5.400000000000091,AWAY POSSESSION,43,,,,,P-M3,,,,,,
LIVE,1763.2543333333335,49.006807300196215,AWAY POSSESSION,44,,,,,P-D3,,,ATTACKING TRANSITION,,,
LIVE,1808.706333333333,5.503000000000156,AWAY POSSESSION,45,,,,,P-D3,,,,,,
LIVE,1819.6383333333333,19.269999999999982,AWAY POSSESSION,46,,,,,"P-D3, P-M3",,,"ATTACKING TRANSITION, ATTACKING TRANSITION",,,
LIVE,1895.978333333333,6.128000000000156,AWAY POSSESSION,47,,,,,P-D3,,,,,,
LIVE,1923.8393333333333,3.7419999999997344,AWAY POSSESSION,48,,LBFB - WIN,,,P-D3,,,,,,
LIVE,1944.407333333333,21.383000000000266,AWAY POSSESSION,49,,"LBFB - LOSS, LBFB - WIN",,,P-D3,,,,,,
LIVE,1973.311333333333,20.298999999999978,AWAY POSSESSION,50,,,,,P-D3,,,,,,
LIVE,2084.139333333333,9.548999999999978,AWAY POSSESSION,51,,LBFB - WIN,,,P-D3,,,,,,
LIVE,2164.8103333333333,11.127999999999702,AWAY POSSESSION,52,,LBFB - LOSS,,,P-D3,LBSB - WIN,,,,,
