Timeline,Start time,Duration,Row,Instance number,ASSIST,ATTACKING THIRD,BUILD UP PROGRESSION,CROSS,CROSS ,Cross Destination,Cross Outcome,Cross Type,DEFENSIVE THIRD,Defending Actions,GOAL,Goalkeeper Actions,MIDDLE THIRD,OFFSIDE,Outcome,PASS INTO S2,PASS INTO S3,POSSESSION,POSSESSION END,Passing Destination,Passing Direction,REC IN S2,REC IN S3,REGAINS,REVIEW,SEAM THREE,SEAM TWO,SHOOTING,Seam Two Output,Shooting Heat Graph,Transition,Ungrouped,Notes,Flags,Opposition,Date
MD1 vs Samoa,2829.0784,32.29999983,HOME POSSESSION,54,,,,,,,,,,,,,,,,PASS INTO S2,,P-M3,,,,REC IN S2,,,,,,SHOT,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2877.928367,23.05663865,HOME POSSESSION,55,,,,,,,,,,,,,,,,PASS INTO S2,,P-M3,,,,REC IN S2,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2902.935,13.59999993,HOME POSSESSION,56,,,P-F3,,,,,,,,,,,,,,,,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,2928.884967,9.399999949,HOME POSSESSION,57,,,P-F3,,,,,,,,,,M3,,,,,,,,,,,REGAINS,,,,SHOT,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,3180.0174,7,HOME POSSESSION,58,,,,,,,,,,,,,,,,PASS INTO S2,,P-M3,,,,REC IN S2,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,3193.9174,33.08386667,HOME POSSESSION,59,,,,,,,,,,,,,,,,"PASS INTO S2, PASS INTO S2",,P-M3,,,,"REC IN S2, REC IN S2",,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,3296.769033,31.7,HOME POSSESSION,60,,,,,,,,,,,,,,,,PASS INTO S2,,P-M3,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,3394.995045,26.9,HOME POSSESSION,61,ASSIST,,,,,,,,,,GOAL,,,,,PASS INTO S2,PASS INTO S3,P-M3,,,,REC IN S2,REC IN S3,,,,,SHOT,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,3466.595045,3.6,HOME POSSESSION,62,,,,,,,,,,,,,,,,,,P-M3,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,3478.845033,34.32693333,HOME POSSESSION,63,,,,,,,,,,,,,,,,PASS INTO S2,,P-M3,,,,REC IN S2,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,3515.038867,13.2,HOME POSSESSION,64,,,P-F3,,,,,,,,,,,,,,PASS INTO S3,,,,,,REC IN S3,REGAINS,,,,SHOT,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,3559.588867,2.5,HOME POSSESSION,65,,,,,,,,,,,,,,,,,,P-D3,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,3577.288867,5.2508,HOME POSSESSION,66,,,P-F3,,,,,,,,,,,,,,,,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,3584.4898,9.6,HOME POSSESSION,67,,,P-F3,,,,,,,,,,,,,PASS INTO S2,,,,,,REC IN S2,,REGAINS,,,,SHOT,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,3594.0898,41.2,HOME POSSESSION,68,,,P-F3,,,,,,,,,,,,,"PASS INTO S2, PASS INTO S2",,P-M3,,,,"REC IN S2, REC IN S2",,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,3635.6738,5.4,HOME POSSESSION,69,,,,,,,,,,,,,,,,,,,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,3644.5738,17.6669,HOME POSSESSION,70,,,,,,,,,,,,,,,,,,P-M3,,,,REC IN S2,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,3670.9407,26.1,HOME POSSESSION,71,,,P-F3,,,,,,,,,,,,,PASS INTO S2,,P-M3,,,,REC IN S2,,,,,,SHOT,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,3716.2578,17.8,HOME POSSESSION,72,,,,,,,,,,,,,,,,,,P-M3,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,3750.7578,23.76773333,HOME POSSESSION,73,,,,,,,,,,,,,M3,,,,PASS INTO S3,P-M3,,,,,REC IN S3,,,,,SHOT,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,3791.725533,6.2,HOME POSSESSION,74,,,,,,,,,,,,,,,,,,P-D3,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,3799.275533,28.06736667,HOME POSSESSION,75,,F3,,,,,,,,,,,,,,"PASS INTO S2, PASS INTO S2",,P-M3,,,,"REC IN S2, REC IN S2",,REGAINS,,,,SHOT,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,3866.426833,12.16673333,HOME POSSESSION,76,,F3,P-F3,,,,,,,,,,,,,,,,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,3886.193567,22,HOME POSSESSION,77,,,,,,,,,,,,,,,,,,P-M3,,,,,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,3913.093567,17.4,HOME POSSESSION,78,,F3,,,,,,,,,,,,,,PASS INTO S2,PASS INTO S3,"P-M3, P-M3",,,,REC IN S2,REC IN S3,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,3932.693567,46.30133333,HOME POSSESSION,79,,,,,,,,,,,,,,,,PASS INTO S2,PASS INTO S3,P-M3,,,,REC IN S2,REC IN S3,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,4003.378633,26.55,HOME POSSESSION,80,,,P-F3,,,,,,,,,,,,,PASS INTO S2,,P-M3,,,,"REC IN S2, REC IN S2",,REGAINS,,,,SHOT,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,4044.997067,17.7,HOME POSSESSION,81,,F3,,,,,,,,,,,,,,PASS INTO S2,,P-M3,,,,REC IN S2,,REGAINS,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,4081.28197,6.3,HOME POSSESSION,82,,,,,,,,,,,,,,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,4088.7144,45.70056667,HOME POSSESSION,83,,F3,P-F3,,,,,,,,,,,,,"PASS INTO S2, PASS INTO S2",PASS INTO S3,P-M3,,,,"REC IN S2, REC IN S2",REC IN S3,REGAINS,,,,SHOT,,,,,,,Samoa,27/02/2026
MD1 vs Samoa,5193.111267,11.1,HOME POSSESSION,84,,,,,,,,,,,,,M3,,,,,P-M3,,,,,,,,,,,,,,,,,Samoa,27/02/2026
